timestamp	commit	skill	round	old_score	new_score	status	dim_changed	delta	note	eval_mode	judge_count
2026-09-14T01:45	no-git	dsh-ws-writing-skill	0	-	92.5	baseline	-	-	10-dim rubric; dim4=0 dim6=9.2 dim10=8.0	dry_run	1
2026-09-14T01:50	no-git	dsh-ws-writing-skill	1	92.5	98.5	keep	dim4	+6.0	3x STOP + 5x CHECKPOINT added; HASP still 0 soft words	dry_run	1
2026-09-14T01:55	no-git	dsh-ws-writing-skill	2	98.5	99.0	keep	dim6+dim10	+0.5	Install-path binding removed (SKILL.md + README x2 -> $SK placeholder). NOTE: vault default path E:\obisidian remains as env-overridable fallback (ported: check_gate.py:30, rebuild_index.py:29)	dry_run	1
2026-09-14T02:00	no-git	dsh-ws-writing-skill	3	99.0	99.5	keep	dim3	+0.5	Added 3-part fallback table: exit2/exit3/unblock path; dim1/4/5/7a/9 all intact	dry_run	1
2026-09-14T02:10	no-git	dsh-ws-writing-skill	4	99.5	99.5	keep	dim6	0.0	INDEPENDENT JUDGE found 2 doc defects: watchlist count 66->72 (fixed, 3 places). No score change; accuracy repair	full_test	2
2026-09-14T02:25	no-git	dsh-ws-writing-skill	5	99.5	99.5	keep	dim3+dim6	0.0	Residuals: (1) FIXED silent fallback - snapshot_status never checked vault liveness; now warns on unreachable vault (check_gate/write_chapter/check_draft all inherit). (2) eval logs -> _meta/. (3) file index completed 29->31	full_test	2
2026-09-14T02:35	no-git	dsh-ws-writing-skill	6	99.5	99.5	keep	dim7b	0.0	Personal-use premise confirmed: restored real install path to SKILL.md/README (placeholder was friction for solo use); removed deploy-oriented wording; fixed section-8 list/blockquote formatting break. Kept vault-liveness fix.	full_test	2
2026-09-14T03:10	no-git	dsh-ws-writing-skill	7	99.5	99.5	keep	-	0.0	P0 DONE: extract_facts.py new (LLM fact path + verbatim-backtrace verifier); rules.json 29->29 groups w/ fact_extraction; ingest confirmed 2->19; fixed line-number pollution + mid-sentence truncation	full_test	2
2026-09-14T03:40	no-git	dsh-ws-writing-skill	8	99.5	99.5	keep	-	0.0	P1 DONE: narrative_nodes rule + is_narrative_node(); 1.1 Zone C matched 0->43; zone_c_synonyms bridge 36 mappings; zero-coverage nodes 16->4; computational nodes stay closed	full_test	2
2026-09-14T04:10	no-git	dsh-ws-writing-skill	9	99.5	99.5	keep	-	0.0	P2 DONE: 420 writing_directive generated (99% traceable to template clause); wired into write_chapter nodes; grounding invariant preserved 420/420; pkg 32KB->51KB	full_test	2
2026-09-14T04:35	no-git	dsh-ws-writing-skill	10	99.5	99.5	keep	-	0.0	P3 DONE: style_role orthogonal field (114 entries: 3 style-exemplar/24 methodology/87 background); reserve slot wired; zone_consistency still 0 violations. NOTE: ch1.1 has NO style exemplar - knowledge-base content gap, not code defect	full_test	2
2026-09-14T04:55	no-git	dsh-ws-writing-skill	11	99.5	99.5	keep	-	0.0	DOCS SYNCED: SKILL.md 3.0 two-path feeding + writing_directive requirement + narrative note; README module list; rules 28->29 in 2 places. Final regression 6/6 pass	full_test	2
2026-09-14T11:45	no-git	dsh-ws-writing-skill	12	99.5	99.5	keep	-	0.0	BUGFIX: style_rules.depth_patterns regexes were double-escaped (\\\\. and \\\\\\\\s) - quantified_fact NEVER matched anything, evidence_ref missed all GB/SL/第N条. Depth check was permanently dead. Fixed; depth now PASSes correctly	full_test	2
2026-09-14T12:10	no-git	dsh-ws-writing-skill	13	99.5	99.5	keep	-	0.0	CRITICAL: P1 was only chapter-1-deep. Measured full book: old gate fired 0/76 nodes, narrative 12/76 -> 60 nodes 'had examples but gate closed'. Added safe_node trigger + guarded_nodes (calc/eval protection). Now 59/76 enabled, 17 correctly closed (14 guarded + 3 doc-level)	full_test	2
2026-09-14T12:40	no-git	dsh-ws-writing-skill	14	99.5	99.5	keep	-	0.0	INDEPENDENT VERIFY found 2 self-inflicted bugs, both FIXED: (D1) guard leaked on 6 nodes (1.2/1.9 precedence inversion; 4.4.x/8.2.x container-expansion) -> guard now first + ancestor-inherited; (D2) V3 warn-only let fabricated value into ledger -> now error. Also fixed D3 dead key declared_unit, D4 colon-width false-negative. Final: 52/76 ZC on, 24 closed w/ valid reason	full_test	2
